timestamp,src_ip,dst_ip,src_port,dst_port,protocol,packets,bytes_sent,bytes_recv,duration,label
2026-08-04 10:00:22,192.168.0.104,172.217.0.46,7669,23,UDP,114,358246,770259,2.26,BENIGN
2026-08-04 10:00:23,192.168.9.121,104.26.10.1,12017,22,TCP,128,89647,837939,2.84,BENIGN
2026-08-04 10:00:24,192.168.1.15,185.220.101.42,4484,21,TCP,216,21267,102489,4.68,BENIGN
2026-08-04 10:00:25,192.168.5.75,104.26.10.1,22322,443,UDP,36,64657,638964,4.23,BENIGN
2026-08-04 10:00:26,192.168.3.134,172.217.0.46,35992,3389,TCP,5000,303651,650697,0.15,DDoS
2026-08-04 10:00:27,192.168.1.95,172.217.0.46,3017,53,TCP,43,333823,859844,2.11,BENIGN
2026-08-04 10:00:28,192.168.6.11,172.217.0.46,29512,3389,TCP,150,71113,758384,1.6,Brute_Force
2026-08-04 10:00:29,192.168.10.215,8.8.8.8,60246,443,UDP,85,254278,809424,2.07,BENIGN
2026-08-04 10:00:30,192.168.9.29,185.220.101.42,43876,3389,TCP,215,21874,17120,3.25,BENIGN
2026-08-04 10:00:31,192.168.5.223,172.217.0.46,40130,3389,UDP,275,215837,768899,3.36,BENIGN
2026-08-04 10:00:32,192.168.2.173,104.26.10.1,54411,53,UDP,150,92580,566781,4.0,BENIGN
2026-08-04 10:00:33,192.168.9.149,172.217.0.46,49751,21,UDP,37,71078,349853,1.23,BENIGN
2026-08-04 10:00:34,192.168.2.59,185.220.101.42,59286,23,TCP,150,158393,640189,2.41,Brute_Force
2026-08-04 10:00:35,192.168.9.213,104.26.10.1,35794,4444,UDP,236,213810,52036,2.97,Suspicious
2026-08-04 10:00:36,192.168.8.191,8.8.8.8,33875,80,TCP,125,76863,550806,2.68,BENIGN
2026-08-04 10:00:37,192.168.2.187,172.217.0.46,50770,23,TCP,243,166723,876428,3.71,BENIGN
2026-08-04 10:00:38,192.168.3.70,104.26.10.1,61406,443,TCP,99,87032,748363,4.68,BENIGN
2026-08-04 10:00:39,192.168.3.187,104.26.10.1,5077,21,UDP,193,44430,62542,4.12,BENIGN
2026-08-04 10:00:40,192.168.3.245,8.8.8.8,4145,22,TCP,73,79453,668862,1.52,BENIGN
2026-08-04 10:00:41,192.168.7.107,1.1.1.1,31766,3389,TCP,159,286642,231787,1.67,BENIGN
2026-08-04 10:00:42,192.168.9.102,1.1.1.1,22463,23,TCP,14,360682,751775,3.41,BENIGN
2026-08-04 10:00:43,192.168.7.3,1.1.1.1,40760,21,TCP,5000,415753,671209,0.15,DDoS
2026-08-04 10:00:44,192.168.7.44,172.217.0.46,32513,21,TCP,5000,111459,716909,0.15,DDoS
2026-08-04 10:00:45,192.168.3.144,104.26.10.1,33250,53,UDP,159,254479,179531,2.17,BENIGN
2026-08-04 10:00:46,192.168.5.169,104.26.10.1,40010,23,TCP,285,128666,539346,0.6,BENIGN
2026-08-04 10:00:47,192.168.7.72,8.8.8.8,26471,31337,TCP,131,44346,515752,0.23,BENIGN
2026-08-04 10:00:48,192.168.10.75,172.217.0.46,20421,443,TCP,287,240077,451150,0.62,BENIGN
2026-08-04 10:00:49,192.168.10.189,185.220.101.42,53807,21,UDP,192,181586,41323,3.6,BENIGN
2026-08-04 10:00:50,192.168.10.56,185.220.101.42,52227,21,UDP,107,282990,453627,2.37,BENIGN
2026-08-04 10:00:51,192.168.1.192,185.220.101.42,33886,53,TCP,201,396827,415869,0.58,BENIGN
2026-08-04 10:00:52,192.168.10.251,104.26.10.1,7383,31337,UDP,241,293274,173979,1.4,BENIGN
2026-08-04 10:00:53,192.168.6.176,185.220.101.42,62631,80,UDP,5000,78026,520507,0.15,DDoS
2026-08-04 10:00:54,192.168.0.136,185.220.101.42,3220,53,TCP,31,439931,838975,0.56,BENIGN
2026-08-04 10:00:55,192.168.3.126,104.26.10.1,48841,23,UDP,290,76201,537060,4.49,BENIGN
2026-08-04 10:00:56,192.168.9.143,1.1.1.1,19906,23,TCP,166,127068,162858,2.3,BENIGN
2026-08-04 10:00:57,192.168.8.225,8.8.8.8,23163,443,TCP,237,205461,8340,0.45,BENIGN
2026-08-04 10:00:58,192.168.5.67,8.8.8.8,26215,80,TCP,292,95093,840182,2.86,BENIGN
2026-08-04 10:00:59,192.168.5.123,8.8.8.8,9400,31337,UDP,112,336170,258689,1.18,BENIGN
2026-08-04 10:01:00,192.168.8.107,1.1.1.1,15075,80,TCP,227,428785,838903,1.44,BENIGN
2026-08-04 10:01:01,192.168.0.72,1.1.1.1,17984,742,UDP,60,89468,544363,4.61,Port_Scan
2026-08-04 10:01:02,192.168.4.163,172.217.0.46,37095,129,UDP,60,287234,70432,2.18,Port_Scan
2026-08-04 10:01:03,192.168.5.82,8.8.8.8,17838,53,UDP,110,166277,673417,4.98,BENIGN
2026-08-04 10:01:04,192.168.6.253,172.217.0.46,14509,53,TCP,272,351216,811083,2.95,BENIGN
2026-08-04 10:01:05,192.168.0.112,1.1.1.1,25025,21,UDP,277,475323,788171,2.59,BENIGN
2026-08-04 10:01:06,192.168.1.188,172.217.0.46,8758,22,UDP,133,418818,33281,4.59,BENIGN
2026-08-04 10:01:07,192.168.2.83,104.26.10.1,47488,21,TCP,98,15923,408026,1.11,BENIGN
2026-08-04 10:01:08,192.168.8.10,172.217.0.46,28095,53,UDP,159,247971,259435,4.09,BENIGN
2026-08-04 10:01:09,192.168.3.157,172.217.0.46,19973,31337,TCP,148,68150,277049,4.18,BENIGN
2026-08-04 10:01:10,192.168.2.82,1.1.1.1,4064,23,UDP,150,136117,778797,4.98,Brute_Force
2026-08-04 10:01:11,192.168.7.64,1.1.1.1,2455,80,UDP,14,133091,895956,3.61,BENIGN
2026-08-04 10:01:12,192.168.3.60,8.8.8.8,47995,80,TCP,5000,37676,375523,0.15,DDoS
2026-08-04 10:01:13,192.168.2.65,185.220.101.42,50930,4444,UDP,264,305826,895782,4.63,BENIGN
2026-08-04 10:01:14,192.168.6.192,185.220.101.42,34229,846,TCP,60,473036,564039,0.25,Port_Scan
2026-08-04 10:01:15,192.168.4.5,104.26.10.1,5005,31337,TCP,38,97201,119678,3.67,BENIGN
2026-08-04 10:01:16,192.168.7.95,185.220.101.42,34685,31337,TCP,91,217386,497802,4.67,BENIGN
2026-08-04 10:01:17,192.168.10.108,172.217.0.46,26331,53,UDP,225,419687,371939,3.01,BENIGN
2026-08-04 10:01:18,192.168.4.41,172.217.0.46,49178,22,UDP,202,275337,672812,4.93,BENIGN
2026-08-04 10:01:19,192.168.5.119,104.26.10.1,9852,22,TCP,173,72282,313106,4.56,BENIGN
2026-08-04 10:01:20,192.168.5.83,172.217.0.46,6405,21,TCP,191,58501,483676,2.21,BENIGN
2026-08-04 10:01:21,192.168.0.177,185.220.101.42,19545,4444,UDP,185,468553,399313,1.73,BENIGN
2026-08-04 10:01:22,192.168.4.174,104.26.10.1,44673,993,TCP,60,52711,361178,0.38,Port_Scan
2026-08-04 10:01:23,192.168.7.138,8.8.8.8,34759,53,UDP,199,32276,799712,3.21,BENIGN
2026-08-04 10:01:24,192.168.3.240,104.26.10.1,62940,80,UDP,34,443513,456656,0.35,BENIGN
2026-08-04 10:01:25,192.168.1.165,1.1.1.1,17951,53,TCP,82,254332,696873,2.56,BENIGN
2026-08-04 10:01:26,192.168.3.217,185.220.101.42,15505,23,UDP,244,438088,59204,0.39,BENIGN
2026-08-04 10:01:27,192.168.3.124,172.217.0.46,27864,22,TCP,232,38573,322451,3.63,BENIGN
2026-08-04 10:01:28,192.168.3.53,185.220.101.42,4037,80,TCP,64,361587,597051,1.47,BENIGN
2026-08-04 10:01:29,192.168.9.244,185.220.101.42,51030,22,TCP,68,390340,468270,4.32,BENIGN
2026-08-04 10:01:30,192.168.10.110,172.217.0.46,2319,22,UDP,5000,471333,327493,0.15,DDoS
2026-08-04 10:01:31,192.168.3.246,172.217.0.46,51001,53,TCP,135,231197,342726,4.21,BENIGN
2026-08-04 10:01:32,192.168.9.199,172.217.0.46,43163,80,TCP,143,462199,361470,3.64,BENIGN
2026-08-04 10:01:33,192.168.5.50,185.220.101.42,54047,22,UDP,38,197287,216603,1.67,BENIGN
2026-08-04 10:01:34,192.168.8.243,172.217.0.46,45293,80,UDP,95,412415,751766,0.24,BENIGN
2026-08-04 10:01:35,192.168.10.174,172.217.0.46,24341,22,TCP,150,62714,495010,4.84,Brute_Force
2026-08-04 10:01:36,192.168.4.8,8.8.8.8,22215,31337,TCP,231,15000000,396811,2.42,Data_Exfiltration
2026-08-04 10:01:37,192.168.4.141,172.217.0.46,22189,3389,TCP,66,272961,253691,3.8,BENIGN
2026-08-04 10:01:38,192.168.0.178,104.26.10.1,5832,299,UDP,60,268429,614045,1.2,Port_Scan
2026-08-04 10:01:39,192.168.7.178,185.220.101.42,49629,23,TCP,177,250426,833395,0.98,BENIGN
2026-08-04 10:01:40,192.168.0.146,172.217.0.46,48629,21,TCP,5000,214754,179041,0.15,DDoS
2026-08-04 10:01:41,192.168.7.248,8.8.8.8,41190,443,UDP,167,443429,879487,3.7,BENIGN
2026-08-04 10:01:42,192.168.1.12,104.26.10.1,49471,21,TCP,37,401269,222541,1.05,BENIGN
2026-08-04 10:01:43,192.168.9.131,1.1.1.1,55388,80,TCP,115,185391,761268,1.4,BENIGN
2026-08-04 10:01:44,192.168.1.216,104.26.10.1,56564,443,TCP,217,226687,855397,3.13,BENIGN
2026-08-04 10:01:45,192.168.7.177,185.220.101.42,32164,443,TCP,140,222202,68604,1.85,BENIGN
2026-08-04 10:01:46,192.168.7.127,8.8.8.8,27374,21,TCP,281,214860,707005,2.18,BENIGN
2026-08-04 10:01:47,192.168.3.88,1.1.1.1,46713,22,UDP,275,70331,626778,3.64,BENIGN
2026-08-04 10:01:48,192.168.8.165,185.220.101.42,13007,53,UDP,172,15000000,31824,4.47,Data_Exfiltration
2026-08-04 10:01:49,192.168.5.63,104.26.10.1,14608,22,UDP,5000,55893,590538,0.15,DDoS
2026-08-04 10:01:50,192.168.9.42,185.220.101.42,18317,31337,TCP,48,160221,713521,4.33,BENIGN
2026-08-04 10:01:51,192.168.9.236,172.217.0.46,18211,22,TCP,175,259178,452400,1.89,BENIGN
2026-08-04 10:01:52,192.168.4.136,104.26.10.1,22182,22,UDP,135,278096,31655,4.44,BENIGN
2026-08-04 10:01:53,192.168.9.170,104.26.10.1,13247,22,UDP,187,234472,234346,3.55,BENIGN
2026-08-04 10:01:54,192.168.7.242,8.8.8.8,27390,443,TCP,37,74034,851201,5.0,BENIGN
2026-08-04 10:01:55,192.168.4.253,172.217.0.46,18485,443,TCP,34,362094,887994,2.87,BENIGN
2026-08-04 10:01:56,192.168.6.234,172.217.0.46,38721,80,UDP,136,400392,223090,2.38,BENIGN
2026-08-04 10:01:57,192.168.1.237,185.220.101.42,42519,80,TCP,249,101549,223340,4.66,BENIGN
2026-08-04 10:01:58,192.168.5.225,8.8.8.8,18430,23,TCP,15,394596,600543,1.36,BENIGN
2026-08-04 10:01:59,192.168.0.157,185.220.101.42,8808,4444,UDP,214,333971,637644,0.34,BENIGN
2026-08-04 10:02:00,192.168.8.61,172.217.0.46,60738,31337,UDP,66,26104,533253,0.23,BENIGN
2026-08-04 10:02:01,192.168.6.198,1.1.1.1,62408,22,TCP,299,432910,721995,3.79,BENIGN
2026-08-04 10:02:02,192.168.3.111,8.8.8.8,64002,53,UDP,300,245078,466936,3.54,BENIGN
2026-08-04 10:02:03,192.168.8.123,104.26.10.1,20468,3389,UDP,30,106908,503657,4.59,BENIGN
2026-08-04 10:02:04,192.168.2.83,1.1.1.1,37786,22,TCP,192,45867,153937,0.8,BENIGN
2026-08-04 10:02:05,192.168.10.4,104.26.10.1,40386,23,UDP,133,141213,446425,4.44,BENIGN
2026-08-04 10:02:06,192.168.10.236,1.1.1.1,57978,4444,TCP,16,380136,204106,2.69,BENIGN
2026-08-04 10:02:07,192.168.3.152,172.217.0.46,1027,23,UDP,5000,198840,225595,0.15,DDoS
2026-08-04 10:02:08,192.168.6.37,172.217.0.46,34803,4444,TCP,154,144991,15682,2.16,BENIGN
2026-08-04 10:02:09,192.168.10.88,8.8.8.8,2388,22,TCP,150,342633,215380,2.18,Brute_Force
2026-08-04 10:02:10,192.168.5.243,104.26.10.1,28867,443,UDP,14,163714,762630,4.35,BENIGN
2026-08-04 10:02:11,192.168.7.85,172.217.0.46,59191,3389,TCP,97,271252,743259,2.09,BENIGN
2026-08-04 10:02:12,192.168.7.155,185.220.101.42,58411,23,TCP,78,473892,39525,4.31,BENIGN
2026-08-04 10:02:13,192.168.9.21,8.8.8.8,47143,3389,TCP,224,92226,662810,0.33,BENIGN
2026-08-04 10:02:14,192.168.3.165,8.8.8.8,44695,80,UDP,191,324390,810519,0.53,BENIGN
2026-08-04 10:02:15,192.168.8.169,185.220.101.42,47807,443,TCP,243,325000,573450,4.25,BENIGN
2026-08-04 10:02:16,192.168.3.70,104.26.10.1,7744,23,UDP,58,463188,571681,1.4,BENIGN
2026-08-04 10:02:17,192.168.7.65,104.26.10.1,33474,23,TCP,143,15000000,87016,1.07,Data_Exfiltration
2026-08-04 10:02:18,192.168.4.218,172.217.0.46,28811,80,UDP,65,264979,429911,0.7,BENIGN
2026-08-04 10:02:19,192.168.1.66,104.26.10.1,41183,4444,TCP,232,360627,709544,2.91,BENIGN
2026-08-04 10:02:20,192.168.5.117,104.26.10.1,23375,21,UDP,24,247389,870375,2.18,BENIGN
2026-08-04 10:02:21,192.168.9.165,1.1.1.1,33458,23,UDP,117,189415,114211,2.71,BENIGN
2026-08-04 10:02:22,192.168.6.135,8.8.8.8,43734,443,UDP,136,326528,658574,3.82,BENIGN
2026-08-04 10:02:23,192.168.3.102,104.26.10.1,52342,31337,TCP,5000,279832,239449,0.15,DDoS
2026-08-04 10:02:24,192.168.4.98,185.220.101.42,57231,3389,TCP,106,403171,213296,3.09,BENIGN
2026-08-04 10:02:25,192.168.7.170,172.217.0.46,61458,21,UDP,180,461755,619773,0.34,BENIGN
2026-08-04 10:02:26,192.168.10.209,172.217.0.46,44495,3389,UDP,150,419192,619793,2.38,Brute_Force
2026-08-04 10:02:27,192.168.0.77,104.26.10.1,56225,4444,TCP,88,15000000,732393,0.27,Data_Exfiltration
2026-08-04 10:02:28,192.168.2.154,8.8.8.8,24307,22,UDP,5000,212269,505284,0.15,DDoS
2026-08-04 10:02:29,192.168.3.89,1.1.1.1,56945,53,UDP,19,91014,358916,1.62,BENIGN
2026-08-04 10:02:30,192.168.7.136,172.217.0.46,48639,80,UDP,109,411306,124439,1.74,BENIGN
2026-08-04 10:02:31,192.168.7.105,172.217.0.46,38762,4444,TCP,5000,250438,210754,0.15,DDoS
2026-08-04 10:02:32,192.168.0.78,104.26.10.1,27446,23,TCP,102,99344,305111,1.81,BENIGN
2026-08-04 10:02:33,192.168.4.73,104.26.10.1,64981,3389,UDP,214,122979,198293,2.31,BENIGN
2026-08-04 10:02:34,192.168.1.47,104.26.10.1,35692,23,UDP,231,229581,471282,2.8,BENIGN
2026-08-04 10:02:35,192.168.5.254,104.26.10.1,64743,22,TCP,258,15000000,85672,3.72,Data_Exfiltration
2026-08-04 10:02:36,192.168.9.51,185.220.101.42,61742,4444,UDP,237,308034,566201,3.36,BENIGN
2026-08-04 10:02:37,192.168.7.92,172.217.0.46,58187,3389,UDP,268,257930,855883,4.51,BENIGN
2026-08-04 10:02:38,192.168.6.4,8.8.8.8,16000,22,TCP,257,116650,230619,1.35,BENIGN
2026-08-04 10:02:39,192.168.1.131,185.220.101.42,27452,21,UDP,112,126834,299730,0.33,BENIGN
2026-08-04 10:02:40,192.168.10.107,1.1.1.1,57492,31337,UDP,46,311210,701425,3.21,BENIGN
2026-08-04 10:02:41,192.168.9.25,8.8.8.8,4573,31337,TCP,180,30078,17880,4.41,BENIGN
2026-08-04 10:02:42,192.168.1.187,1.1.1.1,62550,80,UDP,144,199188,161610,3.82,BENIGN
2026-08-04 10:02:43,192.168.6.141,8.8.8.8,32389,23,UDP,40,490126,683674,4.96,BENIGN
2026-08-04 10:02:44,192.168.10.48,1.1.1.1,23178,31337,TCP,84,397372,488251,1.02,BENIGN
2026-08-04 10:02:45,192.168.1.252,104.26.10.1,7960,22,UDP,257,378593,466740,3.83,BENIGN
2026-08-04 10:02:46,192.168.5.243,8.8.8.8,52437,443,TCP,248,31799,328985,2.21,BENIGN
2026-08-04 10:02:47,192.168.6.239,8.8.8.8,16882,31337,UDP,213,184098,27313,0.28,BENIGN
2026-08-04 10:02:48,192.168.7.76,8.8.8.8,1394,53,UDP,54,99908,566918,0.99,BENIGN
2026-08-04 10:02:49,192.168.5.59,104.26.10.1,48474,31,UDP,60,181512,630432,1.94,Port_Scan
2026-08-04 10:02:50,192.168.7.144,185.220.101.42,14762,443,UDP,150,130059,258728,4.58,BENIGN
2026-08-04 10:02:51,192.168.0.45,185.220.101.42,58749,4444,UDP,221,476128,254017,0.77,BENIGN
2026-08-04 10:02:52,192.168.2.186,172.217.0.46,14200,31337,UDP,240,274286,790956,3.43,BENIGN
2026-08-04 10:02:53,192.168.0.225,172.217.0.46,40850,31337,TCP,5000,461953,312433,0.15,DDoS
2026-08-04 10:02:54,192.168.10.85,185.220.101.42,41751,21,UDP,129,331423,97125,2.18,BENIGN
2026-08-04 10:02:55,192.168.10.226,172.217.0.46,40825,730,TCP,60,399897,530617,1.46,Port_Scan
2026-08-04 10:02:56,192.168.5.138,8.8.8.8,46156,53,TCP,183,388685,196474,1.07,BENIGN
2026-08-04 10:02:57,192.168.4.230,185.220.101.42,34512,80,UDP,234,429824,578088,0.48,BENIGN
2026-08-04 10:02:58,192.168.0.22,8.8.8.8,30234,3389,UDP,97,6987,581423,3.34,BENIGN
2026-08-04 10:02:59,192.168.2.254,172.217.0.46,3048,80,UDP,81,358841,514149,0.54,BENIGN
2026-08-04 10:03:00,192.168.9.61,185.220.101.42,45275,21,UDP,265,54159,886268,1.21,BENIGN
2026-08-04 10:03:01,192.168.4.172,185.220.101.42,5249,4444,TCP,83,203458,596461,2.71,BENIGN
2026-08-04 10:03:02,192.168.7.194,1.1.1.1,53642,31337,UDP,48,309462,646458,4.02,BENIGN
2026-08-04 10:03:03,192.168.6.226,172.217.0.46,61142,3389,UDP,271,214614,540928,3.69,BENIGN
2026-08-04 10:03:04,192.168.9.14,104.26.10.1,5668,21,UDP,150,414863,723284,2.22,Brute_Force
2026-08-04 10:03:05,192.168.2.174,185.220.101.42,7667,4444,TCP,80,2396,238678,0.44,BENIGN
2026-08-04 10:03:06,192.168.9.176,1.1.1.1,34221,443,TCP,160,468037,395512,1.85,BENIGN
2026-08-04 10:03:07,192.168.3.30,104.26.10.1,45445,22,UDP,76,283401,834595,0.39,BENIGN
2026-08-04 10:03:08,192.168.9.3,185.220.101.42,11635,3389,TCP,40,115312,657119,0.51,BENIGN
2026-08-04 10:03:09,192.168.0.67,172.217.0.46,62354,4444,UDP,103,69661,386627,0.6,BENIGN
2026-08-04 10:03:10,192.168.10.250,104.26.10.1,56461,4444,UDP,261,353014,416810,4.75,BENIGN
2026-08-04 10:03:11,192.168.9.235,104.26.10.1,13816,31337,TCP,38,402637,630730,4.19,BENIGN
2026-08-04 10:03:12,192.168.9.110,172.217.0.46,1190,3389,TCP,157,272032,262135,0.83,BENIGN
2026-08-04 10:03:13,192.168.5.209,185.220.101.42,9586,443,TCP,157,149415,863912,0.68,BENIGN
2026-08-04 10:03:14,192.168.6.39,104.26.10.1,20865,22,UDP,150,220015,262803,1.99,Brute_Force
2026-08-04 10:03:15,192.168.9.77,104.26.10.1,46053,4444,UDP,33,426177,785454,0.69,BENIGN
2026-08-04 10:03:16,192.168.4.135,104.26.10.1,54236,272,TCP,60,462387,24870,4.53,Port_Scan
2026-08-04 10:03:17,192.168.8.169,172.217.0.46,13752,4444,TCP,300,156609,56980,2.29,BENIGN
2026-08-04 10:03:18,192.168.3.119,172.217.0.46,60604,80,TCP,270,204801,516236,2.46,BENIGN
2026-08-04 10:03:19,192.168.7.158,1.1.1.1,56532,31337,TCP,13,495827,588166,4.44,BENIGN
2026-08-04 10:03:20,192.168.8.106,185.220.101.42,51283,443,TCP,54,58772,37933,1.63,BENIGN
2026-08-04 10:03:21,192.168.3.33,104.26.10.1,53940,443,TCP,119,218412,727963,4.59,BENIGN
2026-08-04 10:03:22,192.168.0.243,172.217.0.46,14339,21,TCP,94,294328,625918,4.58,BENIGN
2026-08-04 10:03:23,192.168.10.248,172.217.0.46,58169,80,TCP,60,156921,184402,4.06,BENIGN
2026-08-04 10:03:24,192.168.5.184,104.26.10.1,19463,80,UDP,249,274847,32618,2.43,BENIGN
2026-08-04 10:03:25,192.168.3.220,1.1.1.1,5136,80,TCP,238,102277,398781,1.32,BENIGN
2026-08-04 10:03:26,192.168.4.36,185.220.101.42,37304,21,UDP,153,325404,238881,3.32,BENIGN
2026-08-04 10:03:27,192.168.3.219,8.8.8.8,28771,80,TCP,5000,143126,652973,0.15,DDoS
2026-08-04 10:03:28,192.168.5.68,104.26.10.1,2276,684,UDP,60,354618,754192,0.95,Port_Scan
2026-08-04 10:03:29,192.168.4.206,1.1.1.1,48725,22,UDP,105,134623,216570,4.07,BENIGN
2026-08-04 10:03:30,192.168.6.71,1.1.1.1,39845,4444,TCP,52,467413,421705,4.31,BENIGN
2026-08-04 10:03:31,192.168.9.227,8.8.8.8,23914,31337,UDP,132,466412,515669,3.58,BENIGN
2026-08-04 10:03:32,192.168.10.36,1.1.1.1,2281,4444,UDP,61,354161,44528,2.86,BENIGN
2026-08-04 10:03:33,192.168.3.177,1.1.1.1,33904,31337,UDP,233,281633,723496,4.9,BENIGN
2026-08-04 10:03:34,192.168.8.199,1.1.1.1,1281,22,UDP,150,336686,609551,3.92,Brute_Force
2026-08-04 10:03:35,192.168.2.232,104.26.10.1,8433,80,UDP,74,419324,297018,2.96,BENIGN
2026-08-04 10:03:36,192.168.10.32,1.1.1.1,41432,53,TCP,284,86935,520310,2.89,BENIGN
2026-08-04 10:03:37,192.168.9.91,172.217.0.46,51269,22,UDP,103,232000,33478,0.71,BENIGN
2026-08-04 10:03:38,192.168.0.76,172.217.0.46,38381,23,TCP,260,406765,102259,1.14,BENIGN
2026-08-04 10:03:39,192.168.8.2,172.217.0.46,55121,773,UDP,60,161363,88366,1.27,Port_Scan
2026-08-04 10:03:40,192.168.6.120,185.220.101.42,50711,4444,UDP,174,52296,14394,3.59,BENIGN
2026-08-04 10:03:41,192.168.10.125,172.217.0.46,39544,31337,TCP,255,158793,91419,4.85,Suspicious
2026-08-04 10:03:42,192.168.9.209,104.26.10.1,51249,4444,TCP,174,264669,480790,3.15,BENIGN
2026-08-04 10:03:43,192.168.3.75,185.220.101.42,63967,80,TCP,193,499303,117742,0.49,BENIGN
2026-08-04 10:03:44,192.168.2.123,185.220.101.42,16422,22,TCP,153,304877,807753,3.03,BENIGN
2026-08-04 10:03:45,192.168.7.197,1.1.1.1,64999,21,TCP,36,260367,613029,3.55,BENIGN
2026-08-04 10:03:46,192.168.8.78,1.1.1.1,1389,23,TCP,265,106385,405974,2.36,BENIGN
2026-08-04 10:03:47,192.168.8.209,8.8.8.8,52397,443,TCP,250,248457,745791,3.2,BENIGN
2026-08-04 10:03:48,192.168.8.207,8.8.8.8,17017,80,TCP,5000,372890,776736,0.15,DDoS
2026-08-04 10:03:49,192.168.10.111,185.220.101.42,39800,21,TCP,116,272559,593709,4.17,BENIGN
2026-08-04 10:03:50,192.168.3.127,104.26.10.1,12444,3389,UDP,139,438813,477950,3.2,BENIGN
2026-08-04 10:03:51,192.168.0.145,8.8.8.8,5572,23,UDP,180,131500,354889,3.32,BENIGN
2026-08-04 10:03:52,192.168.10.80,8.8.8.8,22640,4444,TCP,111,59793,383919,1.0,BENIGN
2026-08-04 10:03:53,192.168.4.119,104.26.10.1,14072,23,TCP,190,157521,380453,2.71,BENIGN
2026-08-04 10:03:54,192.168.3.85,1.1.1.1,51179,80,TCP,161,400825,401937,3.76,BENIGN
2026-08-04 10:03:55,192.168.0.86,1.1.1.1,31091,21,TCP,26,153436,98623,4.26,BENIGN
2026-08-04 10:03:56,192.168.5.206,104.26.10.1,26752,4444,UDP,168,257479,574529,2.77,BENIGN
2026-08-04 10:03:57,192.168.8.176,185.220.101.42,4813,3389,UDP,150,386549,624770,1.58,BENIGN
2026-08-04 10:03:58,192.168.0.197,8.8.8.8,62840,31337,TCP,99,62153,156981,2.03,Suspicious
2026-08-04 10:03:59,192.168.9.75,1.1.1.1,15168,543,UDP,60,467526,157871,2.55,Port_Scan
2026-08-04 10:04:00,192.168.7.159,1.1.1.1,36054,660,UDP,60,487204,203136,4.64,Port_Scan
2026-08-04 10:04:01,192.168.3.77,8.8.8.8,62677,128,UDP,60,182877,847567,0.59,Port_Scan
2026-08-04 10:04:02,192.168.6.117,1.1.1.1,14680,443,TCP,236,251311,114881,0.74,BENIGN
2026-08-04 10:04:03,192.168.8.205,172.217.0.46,19459,3389,TCP,5000,148820,380338,0.15,DDoS
2026-08-04 10:04:04,192.168.1.22,172.217.0.46,52548,578,UDP,60,49908,130315,0.38,Port_Scan
